case	stub_va	table_va	table_delta	template_fn_va	fn_size	class_name	prop_members	fn_members
0	0x1589af4	0x565cb50	-67973212	0x158c558	256	GainDeckAssetObject	resID	
1	0x1589b00	0x565cb54	-67973200	0x158c6b0	832	FlowAction	ignore;infinity;preTick;enterTime;duration;status;isMatchSkin;discardInSkin;runtimeDebug	track;track
2	0x1589b0c	0x565cb58	-67973188	0x158ca54	1652	FlowActionLuaScript	hookTick;finishMode	luaAsset;luaAsset;args;args;assetArgs;assetArgs;varShells;varShells;varSturcts;varSturcts
3	0x1589b18	0x565cb5c	-67973176	0x158d12c	1436	SharedVariableShell	customName;type;structName;enumValue;GetFix64;SetFix64;GetInt;SetInt;GetActor;SetActor;GetVector3Fix64;SetVector3Fix64;GetBool;SetBool;GetActorList	flowVar;flowVar;parallelFlowVar;parallelFlowVar;doMain;doMain
4	0x1589b24	0x565cb60	-67973164	0x158d72c	320	CommonAssetObject	customName;key;id	
5	0x1589b30	0x565cb64	-67973152	0x158d8d0	484	BattleActorUseMultiSkillMsg		castSkill;castSkill
6	0x1589b3c	0x565cb68	-67973140	0x158db18	484	BattleActorRemoveBuffMsg		buff;buff
7	0x1589b48	0x565cb6c	-67973128	0x158dd60	256	BattleActorDiscardEvacuateDepot	iID	
8	0x1589b54	0x565cb70	-67973116	0x158deb8	756	BattleActorBackHomeMsg		actor;actor;skillUseObj;skillUseObj
9	0x1589b60	0x565cb74	-67973104	0x158e210	484	BattleActorApplyBuffMsg		buff;buff
10	0x1589b6c	0x565cb78	-67973092	0x158e458	256	SharedBool	rawValue	
11	0x1589b78	0x565cb7c	-67973080	0x158e5b0	256	SharedFix64	rawValue	
12	0x1589b84	0x565cb80	-67973068	0x158e708	536	VariableFix64Shell	value	customName;customName
13	0x1589b90	0x565cb84	-67973056	0x158e984	256	GameUnit	id	
14	0x1589b9c	0x565cb88	-67973044	0x158eadc	756	BuffManager		actor;actor;buffList;buffList
15	0x1589ba8	0x565cb8c	-67973032	0x158ee34	756	SkillManager		actor;actor;skillList;skillList
16	0x1589bb4	0x565cb90	-67973020	0x158f18c	1028	Actor		battleActor;battleActor;skillMgr;skillMgr;buffMgr;buffMgr
17	0x1589bc0	0x565cb94	-67973008	0x158f5f4	756	VariableActorShell		value;value;customName;customName
18	0x1589bcc	0x565cb98	-67972996	0x158f94c	484	VariableShell		customName;customName
19	0x1589bd8	0x565cb9c	-67972984	0x158fb94	256	SharedInt	rawValue	
20	0x1589be4	0x565cba0	-67972972	0x158fcec	292	CppHotFixHelper	varFix64;varInt	
21	0x1589bf0	0x565cba4	-67972960	0x158fe74	572	DelayFreeNode_Flow	startTime;delayTime	flow;flow
22	0x1589bfc	0x565cba8	-67972948	0x1590114	484	BattleFlowMgr		delayFreeList;delayFreeList
23	0x1589c08	0x565cbac	-67972936	0x159035c	328	LuaScriptParam	insId;pathId;objId	
24	0x1589c14	0x565cbb0	-67972924	0x1590508	292	LuaStructShell	index;typeId	
25	0x1589c20	0x565cbb4	-67972912	0x1590690	572	LuaStructMaker	typeUseIndex;structAllocIndex	structMap;structMap
26	0x1589c2c	0x565cbb8	-67972900	0x1590930	756	LuaFrameDataMgr		structMaker;structMaker;luaMap;luaMap
27	0x1589c38	0x565cbbc	-67972888	0x1590c88	564	VoteMgr_VoteData	voteType;frame	player;player
28	0x1589c44	0x565cbc0	-67972876	0x1590f20	644	TeamViolationLogic	stateBeginTime;stateEndTime;curVoteState;curVoteUseType	curVoteTarget;curVoteTarget
29	0x1589c50	0x565cbc4	-67972864	0x1591208	484	ViolationMgr		battle;battle
30	0x1589c5c	0x565cbc8	-67972852	0x1591450	484	BattleFixModule		fixDatas;fixDatas
31	0x1589c68	0x565cbcc	-67972840	0x1591698	284	UnitManager	unitList;destroyedList	
32	0x1589c74	0x565cbd0	-67972828	0x1591818	484	VisiFlowMgr		battle;battle
33	0x1589c80	0x565cbd4	-67972816	0x1591a60	484	BattleLiteFowCutMgr		focusPlayer;focusPlayer
34	0x1589c8c	0x565cbd8	-67972804	0x1591ca8	1116	BattleDisguiseNode	deadTime;deadPos	battleActor;battleActor;casterPlayer;casterPlayer;monsterAnchor;monsterAnchor
35	0x1589c98	0x565cbdc	-67972792	0x1592168	536	DataConfig_DataConfigDynamic	disableChange	common;common
36	0x1589ca4	0x565cbe0	-67972780	0x15923e4	1028	DataConfig		newModeConfig;newModeConfig;gamePlayConfig;gamePlayConfig;globalResDic;globalResDic
37	0x1589cb0	0x565cbe4	-67972768	0x159284c	1876	FEBattleContext	roomInfoSerilizeUsedLength;isLogicThreadEnabled;useDataSyncObject;useLogicNetwork;isEnableFrameDump;isReEnterRoom;isMemoryLogOpen;visiFocusHeroId;session;inBattleTutorialID;visiFocusRoleId;myGuid;frameRateType;visiFocusCamp;visiMyCamp;agentGid;memoryRecoveryMode;localMemoryRecoveryType;repalyMemoryRecovery;isDisableLiteFowCut;tutorialExtraHeroUsedLength;isForceOffMemoryRecovery;isExpandFEMsgQueueBuff;FEMsgQueueBuffSize;skillNonUpdateParam;isOfflineBattle;forceOpenMemLog;isLowMemoryDevice;releaseTDBMemOnLMDevice;releaseFrameMemOnLMDevice;enableMemoryStatTag;reserveAllFrameMemory;enableFEMemoryMmap;useACK;expectSec;missIntervalShort;missIntervalMiddle;missIntervalLong	roomInfo;roomInfo
38	0x1589cbc	0x565cbe8	-67972756	0x1593004	292	RunningSkillBuffConfig	skillId;buffId	
39	0x1589cc8	0x565cbec	-67972744	0x159318c	572	LogicDisguiseData	DisguiseID;DisguiseType	intParmValueList;intParmValueList
40	0x1589cd4	0x565cbf0	-67972732	0x159342c	484	LogicDisguiseItemResObject		logicDisguiseDatas;logicDisguiseDatas
41	0x1589ce0	0x565cbf4	-67972720	0x1593674	292	BuffLayerReportInfo	buffId;ownerType	
42	0x1589cec	0x565cbf8	-67972708	0x15937fc	256	MonsterChangeModelConfig	monsterId	
43	0x1589cf8	0x565cbfc	-67972696	0x1593954	256	ChangeModelConfig	heroId	
44	0x1589d04	0x565cc00	-67972684	0x1593aac	616	PiXiuRewardSetting	awardID;weight;excludeTag;rewardType1;rewardVal1;rewardType2;rewardVal2;rewardType3;rewardVal3;rewardType4;rewardVal4	
45	0x1589d10	0x565cc04	-67972672	0x1593d78	580	PiXiuNodeSetting	level;glodNum;iconID;award1;award2;award3;award4;award5;award6;buffID	
46	0x1589d1c	0x565cc08	-67972660	0x1594020	256	PiXiuRewardCfgResObject	refreshNum	
47	0x1589d28	0x565cc0c	-67972648	0x1594178	508	EquipmentForgeEquipSetting	equipID;equipTags;includeTag;excludeTag;includeTagSelected;excludeTagSelected;includeTagRemove;excludeTagRemove	
48	0x1589d34	0x565cc10	-67972636	0x15943d8	292	EquipmentForgeHeroSetting	heroID;heroTags	
49	0x1589d40	0x565cc14	-67972624	0x1594560	256	EquipmentForgeResObject	rerollMatchProb	
50	0x1589d4c	0x565cc18	-67972612	0x15946b8	256	DoomDifficultyConfig	difficultyLevel	
51	0x1589d58	0x565cc1c	-67972600	0x1594810	756	SkillComboResObject* >		recordDict;recordDict;recordList;recordList
52	0x1589d64	0x565cc20	-67972588	0x1594b68	652	SkillComboLevelResObject	levelID;igConfigID;replayCutTimeAtStart;replayCutTimeAtEnd	replayFlowPath;replayFlowPath
53	0x1589d70	0x565cc24	-67972576	0x1594e58	484	PreloadCommonConfigResObject		name;name
54	0x1589d7c	0x565cc28	-67972564	0x15950a0	756	ForgeCoreCardResObject* >		recordDict;recordDict;recordList;recordList
55	0x1589d88	0x565cc2c	-67972552	0x15953f8	608	ForgeCoreCardResObject	allowRepeat;unlockLayer;minimumGap	skill;skill
56	0x1589d94	0x565cc30	-67972540	0x15956bc	364	ForgeAttrStock	attr;useTotalValue;stock;totalValue	
57	0x1589da0	0x565cc34	-67972528	0x159588c	652	ForgeAttrPool	id;contentType;attr1;baseValue1;attr2;baseValue2;equipmentId;rejectTags;rejectAttackType;isRare;rankRequirement;minimumLayer	
58	0x1589dac	0x565cc38	-67972516	0x1595b7c	256	ForgeHeroPlayStyle	weight	
59	0x1589db8	0x565cc3c	-67972504	0x1595cd4	680	ForgeHeroSetting	heroID;attackType;damageType;resourceType;rejectTags	basicStyle;basicStyle
60	0x1589dc4	0x565cc40	-67972492	0x1595fe0	2344	ForgeResObject	maximumLayer;singleAttrWeightCap;singleAttrWeightAdd;singleAttrWeightReduce;lightAttrWeightCap;lightAttrWeightAdd;lightAttrWeightReduce;darkAttrWeightCap;darkAttrWeightAdd;darkAttrWeightReduce;attackSpeedLimitUpBase;attackSpeedLimitUpAdd;specialRateBaseLayer;specialRateStartLayer;specialRateS;forgeCoreDownWeightByEquipRate;equipmentEarlyAddWeightMaxLayer;heroLevelMultiply;assistBaseValue;deadHeroEconomyBase;deadHeroEconomyMultiply;pressureMultiplyMin;pressureMultiplyMax;replaceExpMoneyReviseKey;boostSRankStartLayer;boostSRankWeightStep;boostSRankMaximumWeight;boostSRankEndCondition;boostSRankCooldown;boostSRankEquipWeightMul;boostSRankEquipWeightMulStep;boostSRankCoreCardWeightMul;boostSRankCoreCardWeightMulStep;boostSRankForgeCoreWeightMul;boostSRankForgeCoreWeightMulStep;solutionType;rankRandomRule;forgeCoreMinimumLayer;forceCoreMinimumLayer;forgeCoreAddWeightPerLayer;forgeCoreForceLayer;earlyLayer;lockPlayStyleLayer;coreCardExtraWeightLayer;coreCardExtraWeight;showAttributeRange;advanceReduceS;advanceReduceA;advanceReduceB;advanceReduceMinimum;moveReducedToRank	dodgeFilterAsset;dodgeFilterAsset
61	0x1589dd0	0x565cc44	-67972480	0x159696c	484	JungleGuide		heroId;heroId
62	0x1589ddc	0x565cc48	-67972468	0x1596bb4	484	JungleGuideResObject		jungleGuides;jungleGuides
63	0x1589de8	0x565cc4c	-67972456	0x1596dfc	256	RuinWaveSkillData	wave	
64	0x1589df4	0x565cc50	-67972444	0x1596f54	484	RuinWaveSkillDataResObject		ruinWaveSkillDataList;ruinWaveSkillDataList
65	0x1589e00	0x565cc54	-67972432	0x159719c	484	RuinEquipDataResObject		ruinEquipDataList;ruinEquipDataList
66	0x1589e0c	0x565cc58	-67972420	0x15973e4	652	RuinEquipAndSkillData	id;rarity;maxBuyNum;maxRandomNum	name;name
67	0x1589e18	0x565cc5c	-67972408	0x15976d4	484	RuinSkillDataResObject		ruinSkillDataList;ruinSkillDataList
68	0x1589e24	0x565cc60	-67972396	0x159791c	484	RuinSkillRandomResObject		ruinSkillRandomDataList;ruinSkillRandomDataList
69	0x1589e30	0x565cc64	-67972384	0x1597b64	472	RuinEquipAndSkillRandomData	rarity;firstAppearRound;minAppearRound;baseProbability;growthProbability;maxProbability;adptiveProbability	
70	0x1589e3c	0x565cc68	-67972372	0x1597da0	484	RuinEquipRandomResObject		ruinEquipRandomDataList;ruinEquipRandomDataList
71	0x1589e48	0x565cc6c	-67972360	0x1597fe8	756	MonsterBehaviorRelationResObject* >		recordDict;recordDict;recordList;recordList
72	0x1589e54	0x565cc70	-67972348	0x1598340	484	BehaviorRelationUnit		interrupt;interrupt
73	0x1589e60	0x565cc74	-67972336	0x1598588	756	MonsterBehaviorRelationResObject		name;name;behaviorRelation;behaviorRelation
74	0x1589e6c	0x565cc78	-67972324	0x15988e0	756	MonsterBehaviorGroupResObject* >		recordDict;recordDict;recordList;recordList
75	0x1589e78	0x565cc7c	-67972312	0x1598c38	536	MonsterBehaviorLevelExpressionConfig	nodeId	expressionPath;expressionPath
