case	stub_va	template_fn_va	fn_size	class_name
5	0x1589b30	0x158d8d0	484	BattleActorUseMultiSkillMsg
6	0x1589b3c	0x158db18	484	BattleActorRemoveBuffMsg
9	0x1589b60	0x158e210	484	BattleActorApplyBuffMsg
14	0x1589b9c	0x158eadc	756	BuffManager
15	0x1589ba8	0x158ee34	756	SkillManager
16	0x1589bb4	0x158f18c	1028	Actor
25	0x1589c20	0x1590690	572	LuaStructMaker
26	0x1589c2c	0x1590930	756	LuaFrameDataMgr
37	0x1589cb0	0x159284c	1876	FEBattleContext
339	0x158aad8	0x15ce1ac	484	EventManagerAdapter
397	0x158ad90	0x15de540	None	DataFrame
398	0x158ad9c	0x15df4a0	484	FEMsgQueue
743	0x158bdc8	0x1627634	484	BuffLevelData
744	0x158bdd4	0x162787c	None	BuffResObject
805	0x158c0b0	0x16342d0	1984	SkillResObject
823	0x158c188	0x163841c	None	ActorBuff
850	0x158c2cc	0x163ea54	None	ActorSkill
852	0x158c2e4	0x16403a8	1140	SkillUseObj
865	0x158c380	0x1643ebc	356	ActorEventMgr_EventDelegateMP
