name	record_va	marker_va	layout	n_methods	n_slots	typeinfo_va
throw 	0x6a7a490	0x6a7a520	C	15	16	
N11FrameEngine16IFEInterfaceBaseE	0x6a7a578	0x6a7a608	F	7	13	0x720a520
N11FrameEngine6Common13DictListProxyIPNS0_16MonsterResObjectEEE	0x6a7ab20	0x6a7aba0	B	6	11	0x720a800
N11FrameEngine6Common13DictListProxyIPNS0_15FilterResObjectEEE	0x6a7ac30	0x6a7acb0	B	6	11	0x720a800
N11FrameEngine6Common13DictListProxyIPNS0_19SkillFieldResObjectEEE	0x6a7ad40	0x6a7adc0	B	6	11	0x720a800
N11FrameEngine6Common13DictListProxyIPNS0_22SummonerSkillResObjectEEE	0x6a7ae50	0x6a7aed0	B	6	11	0x720a800
N11FrameEngine6Common13DictListProxyIPNS0_19LevelSkillResObjectEEE	0x6a7af60	0x6a7afe0	B	6	11	0x720a800
N11FrameEngine6Common13DictListProxyIPNS0_24DecorationSkillResObjectEEE	0x6a7b070	0x6a7b0f0	B	6	11	0x720a800
N11FrameEngine6Common13DictListProxyIPNS0_20BattleEventResObjectEEE	0x6a7b180	0x6a7b200	B	6	11	0x720a800
N11FrameEngine6Common13DictListProxyIPNS0_19BattleTaskResObjectEEE	0x6a7b290	0x6a7b310	B	6	11	0x720a800
N11FrameEngine6Common13DictListProxyIPNS0_22RuneRecommendResObjectEEE	0x6a7b3a0	0x6a7b420	B	6	11	0x720a800
N11FrameEngine6Common13DictListProxyIPNS0_19FPTemplateResObjectEEE	0x6a7b4b0	0x6a7b530	B	6	11	0x720a800
N11FrameEngine6Common13DictListProxyIPNS0_23ButtonTemplateResObjectEEE	0x6a7b5c0	0x6a7b640	B	6	11	0x720a800
N11FrameEngine6Common13DictListProxyIPNS0_23EquipProgrammeResObjectEEE	0x6a7b6d0	0x6a7b750	B	6	11	0x720a800
N11FrameEngine6Common13DictListProxyIPNS0_26BattleShopReplaceResObjectEEE	0x6a7b7e0	0x6a7b860	B	6	11	0x720a800
N11FrameEngine6Common13DictListProxyIPNS0_22BuffTypeGroupResObjectEEE	0x6a7b8f0	0x6a7b970	B	6	11	0x720a800
N11FrameEngine6Common13DictListProxyIPNS0_22ForgeCoreCardResObjectEEE	0x6a7ba00	0x6a7ba80	B	6	11	0x720a800
N11FrameEngine6Common13DictListProxyIPNS_5Logic19SkillComboResObjectEEE	0x6a7bb10	0x6a7bb90	B	6	11	0x720a800
N11FrameEngine6Common13DictListProxyIPNS0_18FreeSkillResObjectEEE	0x6a7bc20	0x6a7bca0	B	6	11	0x720a800
N11FrameEngine6Common13DictListProxyIPNS0_21VirtualSkillResObjectEEE	0x6a7bd30	0x6a7bdb0	B	6	11	0x720a800
N11FrameEngine6Common13DictListProxyIPNS0_24VirtualChampionResObjectEEE	0x6a7be40	0x6a7bec0	B	6	11	0x720a800
