OK QuickTest.res: 335 B, consumed 0x14f, protos=1
OK TestMain.res: 698 B, consumed 0x2ba, protos=1
OK ActionMgr.res: 3304 B, consumed 0xce8, protos=10
OK ActorComponent.res: 979 B, consumed 0x3d3, protos=7
OK BattleGlobalFunc.res: 1775 B, consumed 0x6ef, protos=5
OK ConstDefine.res: 724 B, consumed 0x2d4, protos=2
OK EvaluatorMgr.res: 1452 B, consumed 0x5ac, protos=3
OK FlowAction.res: 5585 B, consumed 0x15d1, protos=12
OK FlowEvaluator.res: 1904 B, consumed 0x770, protos=4
OK GlobalFunc.res: 2137 B, consumed 0x859, protos=6
OK Loader.res: 2594 B, consumed 0xa22, protos=10
OK PathHashMap.res: 2128 B, consumed 0x850, protos=1
OK ScriptMgr.res: 2716 B, consumed 0xa9c, protos=8
OK ToggleMgr.res: 651 B, consumed 0x28b, protos=4
OK WorkFlowUtils.res: 1907 B, consumed 0x773, protos=18
OK BattleLogic.res: 1479 B, consumed 0x5c7, protos=6
OK FEEnumForLua.res: 53119 B, consumed 0xcf7f, protos=1
OK LuaStruct.res: 1058 B, consumed 0x422, protos=2
OK event_manager.res: 2016 B, consumed 0x7e0, protos=7
OK pprint.res: 4373 B, consumed 0x1115, protos=7
OK queue.res: 2626 B, consumed 0xa42, protos=11
OK safecall.res: 3980 B, consumed 0xf8c, protos=4
